,antecedent,consequent,confidence,lift,support
17,"30000512, AGULHA PRECISION AGU DES 30X7 x 100",SERINGA EMERALD SE 5MLDLLSA x 400,0.6350210970464135,390.1742979128323,0.0014536708811853
55,"30000512, AGULHA PRECISION AGU DES 30X7 x 100",30000174,0.2742616033755274,364.0330520393812,0.0006278312775883
5,"SERINGA EMERALD SE 5MLDLLSA x 400, AGULHA PRECISION AGU DES 30X7 x 100",30000512,0.9176829268292684,354.5098175282126,0.0014536708811853
7,SERINGA EMERALD SE 5MLDLLSA x 400,30000512,0.9109792284866468,351.9201138225785,0.0014826477093817
18,30000512,SERINGA EMERALD SE 5MLDLLSA x 400,0.5727611940298507,351.92011382257846,0.0014826477093817
10,"30000174, AGULHA PRECISION AGU DES 30X7 x 100",30000512,0.8783783783783784,339.3260891488503,0.0006278312775883
60,30000512,30000174,0.25,331.83012820512823,0.0006471491630526
11,30000174,30000512,0.8589743589743589,331.8301282051282,0.0006471491630526
126,35629,34118,0.1324451410658307,145.1024116368944,0.0008161806608648
8,34118,35629,0.8941798941798942,145.1024116368944,0.0008161806608648
6,5722,5721,0.9176029962546816,134.086599583971,0.0011832204846857
96,5721,5722,0.1729004940014114,134.08659958397098,0.0011832204846857
241,AEROLIN SPRAY DOSE 100Y x 200 /DOS,CLENIL HFA SPRAY AERO 200Y x 200 /DOS,0.0598290598290598,81.50213675213676,0.0005409007929991
15,CLENIL HFA SPRAY AERO 200Y x 200 /DOS,AEROLIN SPRAY DOSE 100Y x 200 /DOS,0.7368421052631579,81.50213675213675,0.0005409007929991
112,78939318,LACTA CHO BO SO VA 20G x 1,0.1434745030250648,70.90242850925053,0.0008016922467666
30,LACTA CHO BO SO VA 20G x 1,78939318,0.39618138424821,70.90242850925053,0.0008016922467666
0,"SERINGA EMERALD SE 5MLDLLSA x 400, 30000512",AGULHA PRECISION AGU DES 30X7 x 100,0.980456026058632,68.93554691604497,0.0014536708811853
1,SERINGA EMERALD SE 5MLDLLSA x 400,AGULHA PRECISION AGU DES 30X7 x 100,0.973293768545994,68.43197090073706,0.001584066608069
